id,source_id,publisher_id,period_id,data,schema,score,summary,run_id,timestamp,report
72c861f437dc4df1a9c0e1edd9ac00c7,6bc6c46f-befb-4bd6-8a3d-e269a8ac772f,ministry-of-defence,2012-10-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/43361/20121221_travel_stationery_oct2012.csv,,4,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
76d1546635f04580865eb6707655d372,df265726-3efb-4d31-9815-4d912b12d9d9,foreign-and-commonwealth-office,2014-11-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/393642/Publishable_November_2014_Spend.csv,,9,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
e129baceaf5b4640a797542086fb4b43,57a2dfd5-50c0-4f49-b87b-ae351f1dd6d8,department-for-business-innovation-and-skills,2013-04-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/208078/April-2013.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
ade7f828db2f4ab3be2b7a617ccc36e3,cd9005c7-7d3c-485a-8f3e-bf634164da7d,department-of-health,2014-10-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381369/CSV__25K_Returns_October_Data_.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
28315389ce5c437f9a8f0b90928860f1,264d394f-79ce-44c4-af05-6b216b580769,department-for-environment-food-and-rural-affairs,2011-02-01,http://data.defra.gov.uk/ops/procurement/rpa-over-25k-1102.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
0a6cc5a8602946ac96462d6bac7c603e,232286da-f30f-4f96-b130-8002af95305b,department-for-education,2011-05-01,http://media.education.gov.uk/assets/files/csv/national%20college%20spend%20-%20may%202011.csv,,9,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
00037c7645464b6789c353b9aa20db9c,fd1c46a6-9f85-46be-ac65-c79404d4bd0f,department-for-work-and-pensions,2016-03-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/519521/dwp-payments-over-25000-for-march-2016.csv,,1,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
5932036e80244562b023dec590361934,2ea9f19a-8b03-4cd5-9f27-ee62eb90bf9d,cabinet-office,2012-02-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85816/CO-February-2012-expenditure-over-25k.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
454da2eaff6e4425a49dcef9d79cdb7c,3018c41d-bf4a-4047-bf7f-943859ef4b52,department-for-environment-food-and-rural-affairs,2010-06-01,http://data.defra.gov.uk/ops/procurement/vmd-over-25k-1006.csv,,9,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
cc93adfe27c94de39aa7527af3b02052,663ea3c9-7b8a-4322-8e31-6f4f015120b6,department-for-environment-food-and-rural-affairs,2010-11-01,http://data.defra.gov.uk/ops/procurement/kew-over-25k-1011.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
c521a7ff7d464086ba851779e4456758,b4154b5f-7cc7-48bc-8f97-68c475dd7ff9,department-for-environment-food-and-rural-affairs,2012-08-01,http://data.defra.gov.uk/ops/procurement/1208/CEFAS-Over-25k-1208.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
a3d274c1b799496ab21fcafcef754db3,93006f5e-1b8d-439f-9437-6113aa165a4b,department-for-work-and-pensions,2010-07-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186395/dwp-payments-july10.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
efb46cb1dff24e1fb548aa4210931d10,c70bea3f-5540-49f3-ba6b-fdbddc7613c8,department-for-education,2010-07-01,http://media.education.gov.uk/assets/files/xls/s/sft%20spend%20%20july%202010.csv,,9,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
3b246d8f193b42fbbe660e30a0db0953,7f0ad566-9296-4ea8-8ebd-fd3f942e106b,department-for-environment-food-and-rural-affairs,2012-01-01,http://data.defra.gov.uk/ops/procurement/vmd-spend-over-25k-1201.csv,,6,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
9c49b2a570824c7fbbd0edf260456176,a3ea067c-c384-45fc-9f65-7a4e88efc2eb,department-for-environment-food-and-rural-affairs,2010-04-01,http://data.defra.gov.uk/ops/procurement/cefas-over-25k-1004.csv,,9,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
b80b12e2cea14fbba7602ceabc09bc0d,a609ddaf-cd79-4ce5-8812-e936cdd7e758,department-of-health,2015-04-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/430700/CSV_April_over_25_000_exp.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
aaa7679dc8fd4a94a9ddd70a6f3b8b9e,48156182-4420-4806-ad76-3feeb8d78a5e,department-for-business-innovation-and-skills,2015-01-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/417160/BIS-spending-over-25000-January-2015.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
85fde1487312427ba58ba915a6f0f00e,c8507a91-a055-481f-b698-320f2868fac7,department-of-health,2014-09-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/368234/CSV_GPC__25K_October_Returns_September_Data_.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
44eab88505994426b4596f7d0fc95968,7745e4c7-14b7-4d0a-8545-823452db4c30,ministry-of-justice,2012-02-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/172797/moj-aramis-feb-12.csv.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
f6df1a9a9b824e2f9618fe01676324d8,04bf65f5-bf0d-47d0-8835-af37f8e591aa,department-for-environment-food-and-rural-affairs,2011-08-01,http://data.defra.gov.uk/ops/procurement/1108/vmd-over-25k-1108.csv,,7,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
fd5a0270bbae4ecdae1bb6c425e98ec1,933fee11-e150-4f94-b823-7ea57ef9c89c,home-office,2010-11-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/98213/25K-spend-november-2010.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
325e127d0fa14b2cb3d8ac83c762f23d,8ebbce82-0b45-4b68-99b8-1f910fcadb4f,department-for-education,2012-08-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/320600/DfE_Spend_August_2012_-_updated_for_data.gov.uk.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
984608a3e4f94c00a5e416527758b98c,b172ed79-c0e9-43dd-89cf-54a93f70bd75,ministry-of-justice,2010-06-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/219997/moj-aramis-data-june-10.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
d7aaff0254304ab69f3cf9203c257132,da6a9f28-ad8f-4951-84f4-32ebe66f1396,department-for-environment-food-and-rural-affairs,2012-09-01,http://data.defra.gov.uk/ops/procurement/1209/JNCC-Over-25k-1209.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
e66d9a2c407248689941e5e0a90771a7,19b37a7c-f9ad-4318-b705-62bcd29d37fd,home-office,2011-01-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/98209/january-2011.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
8537337748ac4a6e9807f10951791e28,1cdaea6e-9dc9-4943-af26-0d59a5405b4f,cabinet-office,2011-05-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85806/spend-transactions-with-descriptions-co-may-2011.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
d039d9b2ac2b4625b1db311456468d86,11b2ec81-73ef-4bca-87ec-755b30ced5e7,department-for-environment-food-and-rural-affairs,2011-06-01,http://data.defra.gov.uk/ops/procurement/1106/NE-over-25k-1106.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
ca896fb60280473ca99bde8f042f4674,6855c096-48af-4b6b-a738-f52b1aa9790f,department-for-environment-food-and-rural-affairs,2011-11-01,http://data.defra.gov.uk/ops/procurement/gla-over-25-1111.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
fbaee907e2504d989c46dc20607de4d3,f7cdc0e7-bc74-4d2d-81ea-032798d18475,ministry-of-defence,2012-01-01,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/28882/GPCDATA1JANUARYTO31JANUARY2012includingdescriptions.csv,,0,,0b7ae9d334dd4a039f8059119c2ae526,2016-07-08 07:25:28.828957+00:00,http://goodtables.okfnlabs.org
