X,Y,FID,PERIMETER,PUBLICBL_I,FACILITY,FACILITY_C,ADDRESS,CITY,ZIPCODE,CLASS,MUNICODE
-79.8389431220925,40.4809934414222,163,0,8,Frick Park Bowling Greens Garage,B104,Reynolds St,Pittsburgh,15217,City of Pittsburgh,100
-80.0041851794809,40.4079917191803,164,0,33,Saw Mill Run Building,B220,1000 Saw Mill Run Blvd,Pittsburgh,15220,City of Pittsburgh,100
-80.0073130404915,40.4714534634149,165,0,6,Fowler Field Utility Building,B338,Charles St,Pittsburgh,15214,City of Pittsburgh,100
-80.0114486196583,40.4513476579225,166,0,47,Town North Maintenance Building Office,B188,601 Ridge Ave,Pittsburgh,15212,City of Pittsburgh,100
-79.8893247188914,40.4452329037777,167,0,49,West Park Maintenance Building,B277,West Park,Pittsburgh,15212,City of Pittsburgh,100
-79.9754871666677,40.459446058453,168,0,14,Pittsburgh Emergency Operations Center,,2925 Railroad St,Pittsburgh,15201,City of Pittsburgh,100
-79.8974014275942,40.2721323967892,169,0,115,West Elizabeth Borough Building,,800 Fourth St,West Elizabeth,15088,,862
-79.9553192168836,40.4440533205938,170,0,10,Department of Veterans' Services,,4141 Fifth Ave,Pittsburgh,15213,,100
-79.9217200133497,40.398325647649,171,0,116,West Homestead Borough Building,,456 W Eighth Ave,Homestead,15120,,863
-80.0048360905275,40.4413719813462,172,0,12,PA State Office Building,,300 Liberty Ave,Pittsburgh,15222,State,100
-80.0323890049912,40.5197673872637,173,0,117,West View Borough Building,,441 Perry Hwy,Pittsburgh,15229,,864
-79.9437544255746,40.4980042498252,174,0,80,Etna Borough Building,,437 Butler St,Pittsburgh,15223,,827
-80.0211493977732,40.4571197280009,175,0,24,Manchester Storage Building,B275,Franklin St,Pittsburgh,15233,City of Pittsburgh,100
-79.9048237660988,40.4905431904169,176,0,24,Aspinwall Borough Building,,217 Commerical Ave,Aspinwall,15215,,801
-79.9074523709796,40.37027846702,177,0,25,Mcbride Service Building,B059,Mcbride St,Pittsburgh,15207,City of Pittsburgh,100
-80.0674284609482,40.5012353845725,178,0,25,Avalon Borough Building,,640 California Ave,Pittsburgh,15202,,802
-79.976874529664,40.4239606404916,179,0,31,Parks Southern Division Storage Building,B246,Mission St,Pittsburgh,15203,City of Pittsburgh,100
-79.9615276393668,40.3857395761247,180,0,5,Baldwin Borough Building,,3344 Churchview Ave,Pittsburgh,15227,,877
-79.8712809557381,40.4550708987221,181,0,5,East Hills Maintenance Building,B264,Wilner Dr,Pittsburgh,15221,City of Pittsburgh,100
-79.9151707831423,40.4834217657235,182,0,21,Highland Park Storage Building,B204,Reservoir Dr,Pittsburgh,15206,City of Pittsburgh,100
-80.0184725498635,40.3797797711304,183,0,13,Baldwin Township Building,,10 Community Park Dr,Pittsburgh,15234,,902
-80.0206073520786,40.4845697130322,184,0,32,Riverview Nature Center,B040,Riverview Dr,Pittsburgh,15214,City of Pittsburgh,100
-80.17289554195,40.5850923630618,185,0,11,Bell Acres Borough Building,,1151 Camp Meeting Rd,Sewickley,15143,,883
-79.9425338612078,40.4400946833538,186,0,35,Schenley Golf Course Clubhouse,B068,Schenley Dr,Pittsburgh,15217,City of Pittsburgh,100
-80.0558219773634,40.4969170456914,187,0,26,Bellevue Borough Building,,537 Bayne Ave,Pittsburgh,15202,,803
-79.9373860126654,40.4366519944369,188,0,36,Schenley Golf Course Service Building,B067,East Circuit Dr,Pittsburgh,15217,City of Pittsburgh,100
-79.9468303394209,40.4307040559935,189,0,39,Schenley Skating Rink,B064,Overlook Dr,Pittsburgh,15217,City of Pittsburgh,100
-80.0871206028628,40.5105286653293,190,0,27,Ben Avon Borough Building,,7101 Church Ave,Pittsburgh,15202,,804
-80.0270236742132,40.4173249650127,191,0,4,Crane Ave Radio Tower Building,B281,Crane Ave,Pittsburgh,15216,City of Pittsburgh,100
-79.7780134449207,40.5422645488184,192,0,106,Springdale Borough Building,,325 School St,Springdale,15144,,853
-79.9580983807814,40.4709975083576,193,0,38,Schenley Park Maintenance Building,B062,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
-80.1322276737026,40.5123209362908,194,0,47,Neville Township Building,,5050 Grand Ave,Pittsburgh,15225,,928
-79.9580983807814,40.4709975083576,195,0,40,Schenley Warehouse Building 1,B074,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
-80.1241882402477,40.3910551348505,196,0,14,Collier Township Building,,2418 Hilltop Rd,Presto,15142,,905
-79.9580983807814,40.4709975083576,197,0,41,Schenley Warehouse Building 2,B156,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
-80.2021664068541,40.4188360533416,198,0,48,North Fayette Township Building,,400 North Branch Rd,Oakdale,15071,,929
-79.9973134574992,40.4520746392853,199,0,45,Sue Murray Filter Building,B276,North Canal & Cedar Ave,Pittsburgh,15212,City of Pittsburgh,100
-79.8187194520859,40.3835125147572,200,0,49,North Versailles Township Building,,1401 Greensburg Ave,North Versailles,15137,,930
-79.8063293098063,40.3931586768661,201,0,120,Wilmerding Borough Building,,Commerce & Station St,Wilmerding,15148,,867
-79.883380675343,40.4995658138076,202,0,50,O'Hara Township Building,,325 Fox Chapel Rd,Pittsburgh,15238,,931
-80.1644571077859,40.5576431844348,203,0,122,Sewickley Heights Borough Building,,Country Club Rd,Sewickley,15143,,869
-79.8013314794379,40.3320019282629,204,0,3,White Oak Borough Building,,2280 Lincoln Way,White Oak,15131,,875
-79.9918329746631,40.4413332207023,205,0,23,DHS-Washington Place,DHS-WP,Washington Place,Pittsburgh,15219,Allegheny County,
-80.1013657686715,40.549583338709,206,0,51,Ohio Township Building,,1719 Roosevelt Rd,Pittsburgh,15237,,932
-79.9993429213226,40.4368080219058,207,0,26,Fort Pitt Commons,L-FPC,445 Fort Pitt Blvd,Pittsburgh,15219,Allegheny County,
-79.8195215860485,40.4717407527773,208,0,52,Penn Hills Township Building,,12245 Frankstown Rd,Pittsburgh,15235,,934
-80.0171596335962,40.4452623268703,209,0,2,Buhl Planetarium,B375,1 Allegheny Ave,Pittsburgh,15212,City of Pittsburgh,100
-79.983194536971,40.4743334096526,210,0,54,Reserve Township Building,,33 Lonsdale St,Pittsburgh,15212,,937
-79.8545465424804,40.6211879346846,211,0,15,West Deer Township Building,,109 E Union Rd,Russellton,15076,,952
-80.1951712047083,40.3941401706773,212,0,97,Oakdale Borough Building,,6115 Noblestown Rd,Oakdale,15071,,844
-79.828918140173,40.4203751650184,213,0,16,Wilkins Township Building,,110 Peffer Rd,Turtle Creek,15145,,953
-80.0300267357349,40.5139159994756,214,0,56,Ross Township Building,,5325 Perrysville Ave,Pittsburgh,15229,,940
-79.7673457527537,40.3821738781352,215,0,110,Trafford Borough Building,,Fourth St & Duquesne Ave,Trafford,15085,,857
-80.1441480172504,40.4388233526197,216,0,57,Robinson Township Building,,1000 Church Hill Rd,Pittsburgh,15205,,939
-80.1803230900775,40.5385634899653,217,0,99,Osborne Borough Building,,601 Thorn St,Sewickley,15143,,846
-79.8857509239985,40.2725468946083,218,0,78,Elizabeth Borough Building,,206 Third Ave,Elizabeth,15037,,825
-80.0102375153702,40.5878717149046,219,0,62,Fire Training Academy,FTA,700 West Ridge Rd,Allison Park,15101,Allegheny County,
-79.8244411139799,40.2723825167096,220,0,19,Elizabeth Township Building,,522 Rock Run Rd,Elizabeth,15037,,908
-79.9036326383793,40.4014908524985,221,0,87,Homestead Borough Building,,1705 Maple St,Homestead,15120,,834
-79.9141020889021,40.4668070855331,222,0,22,Larimer Playground Maintenance Building,B267,Lenora St,Pittsburgh,15206,City of Pittsburgh,100
-80.3224161238703,40.4934935740647,223,0,21,Findlay Township,,1271 Lincoln Hwy,Clinton,15026,,910
-79.9171427064363,40.4753232284104,224,0,20,Highland Park Construction Division,B210,Heberton St,Pittsburgh,15206,City of Pittsburgh,100
-79.9587859952497,40.4518026662256,225,0,18,Herron Hill Radio Tower,B149,Camp St,Pittsburgh,15219,City of Pittsburgh,100
-79.9961103729788,40.438020656094,226,0,36,Morgue Building,MORG,542 Forth Ave,Pittsburgh,15219,Allegheny County,
-79.9743736528772,40.4585873579551,227,0,12,General Services Facility 2,B005,35 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
-79.8953928190634,40.3014364747767,228,0,127,Clairton City Building,,551 Ravensburg Blvd,Clairton,15025,,200
-79.9748337083318,40.459511238052,229,0,11,General Services Facility 1,B004,10 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
-79.775822958121,40.4054195906125,230,0,100,Pitcairn Borough Building,,582 Sixth St,Pitcairn,15140,,847
-79.9752830907973,40.4592533151533,231,0,10,General Services Compressor Building,B007,10 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
-79.8612288282145,40.4023302410507,232,0,96,North Braddock Borough Building,,600 Anderson St,North Braddock,15104,,843
-80.2199632346829,40.3928895342329,233,0,94,McDonald Borough Building,,151 School St,Mcdonald,15057,,841
-80.1803230900775,40.5385634899653,234,0,104,Sewickley Borough Building,,601 Thorn St,Sewickley,15143,,851
-79.7909888466758,40.3215302758512,235,0,61,South Versailles Township Building,,,Coulter,15028,,947
-79.8858728497217,40.4433934835639,236,0,119,Wilkinsburg Borough Building,,605 Ross Ave,Pittsburgh,15221,,866
-79.7232045312339,40.6244863495333,237,0,38,Harrison Township Building,,1 Municipal Dr,Natrona Heights,15065,,916
-79.9952909080491,40.4361146331358,238,0,329,Pittsburgh Public Works Administration/Supplies,,611 Second Ave,Pittsburgh,15219,Pittsburgh Public Works,100
-80.0254717631173,40.4565370225897,239,0,17,Hazlett Theatre,S992,Allegheny Center Mall,Pittsburgh,15212,City of Pittsburgh,100
-79.9109033156795,40.4718846229413,240,0,601,Forestry,,6520 Stanton Ave,Pittsburgh,15206,Pittsburgh Public Works,100
-80.1610111976634,40.5288720479532,241,0,85,Haysville Borough Building,,36 South Ave,Sewickley,15143,,832
-79.9018877332159,40.4776573758612,242,0,57,Shuman Juvenile Detention Center,SHU,7150 Highland Dr,Pittsburgh,15206,Allegheny County,
-79.8602521297141,40.2946743613818,243,0,9,Lincoln Borough Building,,45 Abe's Way,Elizabeth,15037,,881
-79.8438676309833,40.5055680087046,244,0,112,Verona Borough Building,,736 East Railroad Ave,Verona,15147,,859
-79.9420173484334,40.4370559949477,245,0,34,Schenley Engineering Building,B061,Engineering Dr,Pittsburgh,15217,City of Pittsburgh,100
-79.9770069374671,40.4575017213749,246,0,4,Pittsburgh Public Works Heavy Equipment/Repair,,74 28th Street,Pittsburgh,15222,Pittsburgh Public Works,100
-79.8104297988698,40.427129127304,247,0,12,Buncher Building,BB,1520 Penn Liberty Ctr,Pittsburgh,15235,Allegheny County,
-79.8842427481891,40.420467229208,248,0,107,Swissvale Borough Building,,7560 Roslyn St,Pittsburgh,15218,,854
-79.8597620068648,40.5657604775736,249,0,39,Indiana Township Building,,941 Route 910,Indianola,15051,,917
-79.9068660990196,40.4849515801772,250,0,3,Asphalt Plant,,777 Lockway East,Pittsburgh,15206,Pittsburgh Public Works,100
-79.9968278928461,40.4381053013517,251,0,13,City County Building,CCB,414 Grant St,Pittsburgh,15219,Allegheny County,
-79.9967614183082,40.4367432609193,252,0,13,General Services Motorpool Building,B538,Ross St & Second Ave,Pittsburgh,15219,City of Pittsburgh,100
-80.0181581906467,40.4145403114945,253,0,48,Vanucci Storage Building,B314,Orangewood Ave,Pittsburgh,15216,City of Pittsburgh,100
