FID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,SHAPE_Leng,SHAPE_Area
93,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899,128124.101957,218393786.671
94,15202,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4987730707,-80.0509544479,80864.5857079,133352137.936
95,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.5482857287,-80.0527125652,216827.903587,665898003.951
96,15235,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4425582886,-80.1054992676,167853.62023,398305568.39
97,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3606210323,-79.9092720129,154380.019822,388076491.902
98,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4543676868,-80.0593682188,40435.8272687,53690614.7401
99,15136,MC KEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4662543624,-80.1052967026,136986.702332,305919697.766
100,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4018017783,-80.0343340609,79346.9418132,96941591.5311
101,15228,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.3707285913,-80.0451035447,62502.9184565,84846241.4632
102,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3222114937,-80.0364221393,88379.2560581,293443525.911
103,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.3696124781,-80.0179604868,76801.6792923,92082407.7395
104,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3960644461,-79.9062665898,59764.2409856,139298907.122
105,15057,MC DONALD,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.3573132123,-80.2174969661,341134.44103,1507474904.68
106,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3431658242,-80.1300913154,137207.932743,299969896.842
107,15031,CUDDY,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.359621,-80.178499,50215.0800242,29881810.1949
108,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4219162925,-80.0475012844,114991.379495,127234884.29
109,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208,154758.15403,310574965.525
110,15143,SEWICKLEY,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.5799651598,-80.1429686702,200235.813449,1029770838.57
111,16046,MARS,NON-UNIQUE,PA,42,42019,BUTLER,160,40.6977533333,-80.0288561508,92935.5997771,106132238.355
112,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4961664831,-79.9166479237,68191.6293931,170322982.618
113,15139,OAKMONT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.5350258667,-79.882430851,45518.9904125,79558507.3639
114,15028,COULTERS,PO BOX,PA,42,42003,ALLEGHENY,150,40.295303,-79.801633,15916.1165311,6509781.8051
115,15145,TURTLE CREEK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4164548304,-79.8240778811,58207.8772715,56250492.5319
116,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4317431399,-79.8648785836,90427.848648,167921213.891
117,15104,BRADDOCK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4017865026,-79.8560325746,44041.3378954,74804872.5202
118,15005,BADEN,NON-UNIQUE,PA,42,42007,BEAVER,150,40.6433723706,-80.1660570666,168477.79911,453621452.928
119,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.408876926,-80.1137737418,222.38076588,11.804138418
120,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4219162925,-80.0475012844,849.054685969,3135.09581754
121,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.3808893642,-80.2131033322,1.59730242893,0.0353881899571
122,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6216588905,-80.0621859333,132.785818025,463.93549154
123,15086,WARRENDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6471786499,-80.0953598022,63982.505901,43964343.8761
124,15108,CORAOPOLIS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4815698385,-80.1918063194,277899.701485,1082726673.83
125,15108,CORAOPOLIS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4815698385,-80.1918063194,85.5451170949,292.842530594
126,15071,OAKDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.4070605014,-80.1762059895,163980.057047,488658392.881
127,15208,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4537994557,-79.8994415197,18.7336798983,0.0403655899838
128,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.5482857287,-80.0527125652,52.4406545033,76.33278458
129,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.5482857287,-80.0527125652,1357.55680101,286.151572212
130,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.5482857287,-80.0527125652,331.219752077,1608.32509539
