OBJECTID_1,COUNTYFIPS,District,Mileage
1,42003,1,180.972662826731
2,42003,3,180.113773800895
3,42003,4,91.4363967942358
4,42003,2,200.989640803779
5,42003,5,48.4692024760368
6,42003,7,22.4268843873071
7,42003,8,19.5487771825314
