FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
1036,16454944.212904,16375.502452779,1133,597,0385,385
1037,16469032.492297,16383.474378336,1258,657,1004,1004
1038,16454908.144789,16375.484109515,1134,544,0384,384
1039,16445562.382131,16370.190368578,1013,1096,0142,142
1040,16445563.85741,16370.19086732,1014,1043,0141,141
1041,16469014.413402,16383.464425581,1259,603,1003,1003
1042,16454921.776369,16375.49253657,1135,494,0383,383
1043,16469006.78056,16383.462177813,1260,550,1002,1002
1044,16445564.403205,16370.190768915,1015,987,0140,140
1045,16454899.31442,16375.48047946,1136,444,0382,382
1046,16445565.135352,16370.190641446,1016,929,0139,139
1047,16469006.131402,16383.462511986,1261,500,1001,1001
1048,16445579.21842,16370.198007261,1017,871,0138,138
1049,16454907.44301,16375.485930985,1137,395,0381,381
1050,16468986.447557,16383.452362915,1262,450,1000,1000
1051,16454898.198228,16375.481180423,1138,346,0462,462
1052,16445570.878659,16370.19478373,1018,814,0137,137
1053,16468991.549654,16383.455816357,1263,401,0999,999
1054,16468987.449162,16383.45395115,1264,352,0998,998
1055,16445547.017093,16370.182399515,1019,757,0136,136
1056,16454898.132787,16375.481847601,1139,298,0551,551
1057,16445573.745196,16370.19731429,1020,702,0135,135
1058,16468973.154996,16383.447553286,1265,304,0997,997
1059,16454888.295839,16375.47696095,1140,250,0648,648
1060,16445549.368046,16370.184822508,1021,647,0134,134
1061,16468970.69886,16383.446807416,1266,256,0996,996
1062,16445546.296833,16370.18423,1022,593,0133,133
1063,16454891.387132,16375.478933114,1141,207,0753,753
