X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.9573391449,40.4586336881,66,TS115,40,66,,,SDE,2015/08/11 14:08:42+00,532,0,0
-80.0105035536,40.4482964407,67,TS630,40,67,,,SDE,2015/08/11 14:08:43+00,587,0,0
-79.9272646083,40.4864194031,68,TS391,40,68,,,SDE,2015/08/11 14:08:39+00,365,0,0
-79.9981940569,40.3962777165,69,TS523,40,69,,,SDE,2015/08/11 14:08:40+00,414,0,0
-80.0086275066,40.455090668,70,TS40,40,70,,,SDE,2015/08/11 14:08:42+00,495,0,0
-80.0041140553,40.4422129563,71,TS497,40,71,,,SDE,2015/08/11 14:08:38+00,303,0,0
-80.0214276945,40.4416681684,72,TS172,40,72,,,SDE,2015/08/11 14:08:43+00,540,0,0
-79.9973443064,40.3929900732,73,TS460,40,73,,,SDE,2015/08/11 14:08:40+00,409,0,0
-79.9385912142,40.4559097008,74,TS2,40,74,,,SDE,2015/08/11 14:08:36+00,155,0,0
-80.0340530774,40.4412030744,75,TS9,40,75,,,SDE,2015/08/11 14:08:41+00,446,0,0
-80.0282028692,40.4442566804,76,TS205,40,76,,,SDE,2015/08/11 14:08:41+00,449,0,0
-79.9606156826,40.4227843226,77,TS650,40,77,,,SDE,2015/08/11 14:08:43+00,543,0,0
-79.9508614518,40.4522335144,78,TS213,40,78,,,SDE,2015/08/11 14:08:36+00,199,0,0
-79.9777326455,40.4373390236,79,TS550,40,79,,,SDE,2015/08/11 14:08:37+00,230,0,0
-80.0299444735,40.4158994067,80,TS58,40,80,,,SDE,2015/08/11 14:08:41+00,433,0,0
-79.9954316916,40.4414483868,81,TS562,40,81,,,SDE,2015/08/11 14:08:38+00,286,0,0
-79.9161453597,40.4380357593,82,TS94,40,82,,,SDE,2015/08/11 14:08:34+00,45,0,0
-80.000180347,40.43777804,83,TS27,40,83,,,SDE,2015/08/11 14:08:37+00,238,0,0
-79.9498773357,40.4620925701,84,TS426,40,84,,,SDE,2015/08/11 14:08:39+00,341,0,0
-79.9281228606,40.4677232108,85,TS273,40,85,,,SDE,2015/08/11 14:08:34+00,70,0,0
-79.8951621412,40.4471325113,86,TS136,40,86,,,SDE,2015/08/11 14:08:33+00,27,0,0
-79.9883550216,40.4378112078,87,TS327,40,87,,,SDE,2015/08/11 14:08:37+00,225,0,0
-79.9648704981,40.4487774513,88,TS561,40,88,,,SDE,2015/08/11 14:08:43+00,550,0,0
-80.027180855,40.4460084662,89,TS664,40,89,,,SDE,2015/08/11 14:08:44+00,599,0,0
-79.9784449359,40.4549045087,90,TS504,40,90,,,SDE,2015/08/11 14:08:39+00,322,0,0
-79.9576258306,40.4410902127,91,TS54,40,91,,,SDE,2015/08/11 14:08:36+00,175,0,0
-79.97776092,40.4543424362,92,TS585,40,92,,,SDE,2015/08/11 14:08:39+00,323,0,0
-79.9452313668,40.4652969844,93,TS462,40,93,,,SDE,2015/08/11 14:08:40+00,370,0,0
-79.9778998741,40.4473406323,94,TS413,40,94,,,SDE,2015/08/11 14:08:43+00,577,0,0
-79.9976996161,40.4380424734,95,TS362,40,95,,,SDE,2015/08/11 14:08:38+00,276,0,0
-79.9229273984,40.4369739869,96,TS256,40,96,,,SDE,2015/08/11 14:08:35+00,115,0,0
-79.9584736543,40.4484491161,97,TS555,40,97,,,SDE,2015/08/11 14:08:42+00,525,0,0
-79.9274941144,40.4310224052,98,TS510,40,98,,,SDE,2015/08/11 14:08:35+00,110,0,0
-79.94372885,40.4588117041,99,TS634,40,99,,,SDE,2015/08/11 14:08:37+00,208,0,0
-79.9430018021,40.4446471947,100,TS332,40,100,,,SDE,2015/08/11 14:08:36+00,148,0,0
-79.9983628279,40.4370636185,101,TS24,40,101,,,SDE,2015/08/11 14:08:37+00,236,0,0
-79.9822814833,40.4522636052,102,TS503,40,102,,,SDE,2015/08/11 14:08:39+00,320,0,0
-79.9396398599,40.4566268393,103,TS49,40,103,,,SDE,2015/08/11 14:08:37+00,209,0,0
-80.0037535676,40.3778788134,104,TS441,40,104,,,SDE,2015/08/11 14:08:40+00,412,0,0
-79.9161151233,40.4279163272,105,TS95,40,105,,,SDE,2015/08/11 14:08:35+00,103,0,0
-79.917776411,40.4443263157,106,TS97,40,106,,,SDE,2015/08/11 14:08:34+00,47,0,0
-79.9455647127,40.4445501009,107,TS633,40,107,,,SDE,2015/08/11 14:08:44+00,595,0,0
-80.0199685268,40.3937158568,108,TS155,40,108,,,SDE,2015/08/11 14:08:41+00,426,0,0
-80.0518871709,40.4627440821,109,TS199,40,109,,,SDE,2015/08/11 14:08:41+00,455,0,0
-80.0026250537,40.4374039047,110,TS354,40,110,,,SDE,2015/08/11 14:08:38+00,274,0,0
-79.9864479477,40.4176023094,111,TS43,40,111,,,SDE,2015/08/11 14:08:40+00,400,0,0
-79.9079222022,40.4615998895,112,TS445,40,112,,,SDE,2015/08/11 14:08:34+00,54,0,0
-80.0343596275,40.4401998187,113,TS478,40,113,,,SDE,2015/08/11 14:08:41+00,444,0,0
-80.0066323519,40.4554493623,114,TS294,40,114,,,SDE,2015/08/11 14:08:42+00,496,0,0
-79.9747298129,40.4274940622,115,TS517,40,115,,,SDE,2015/08/11 14:08:40+00,391,0,0
-79.9333595877,40.3897956264,116,TS381,40,116,,,SDE,2015/08/11 14:08:43+00,571,0,0
-80.0155739577,40.4567969536,117,TS144,40,117,,,SDE,2015/08/11 14:08:41+00,473,0,0
-79.9635412017,40.4263869131,118,TS658,40,118,,,SDE,2015/08/11 14:08:43+00,574,0,0
-80.0126088022,40.4543340505,119,TS464,40,119,,,SDE,2015/08/11 14:08:41+00,470,0,0
-80.0067752748,40.4338305736,120,TS598,40,120,,,SDE,2015/08/11 14:08:43+00,542,0,0
-79.9478137897,40.4628634161,121,TS277,40,121,,,SDE,2015/08/11 14:08:39+00,342,0,0
-80.017779787,40.4084485858,122,TS192,40,122,,,SDE,2015/08/11 14:08:40+00,419,0,0
-80.0251245296,40.4497310477,123,TS453,40,123,,,SDE,2015/08/11 14:08:41+00,459,0,0
-79.9824573114,40.4511277952,124,TS439,40,124,,,SDE,2015/08/11 14:08:39+00,318,0,0
-79.9762355708,40.4453065251,125,TS212,40,125,,,SDE,2015/08/11 14:08:43+00,551,0,0
-79.8903801843,40.4550327099,126,TS105,40,126,,,SDE,2015/08/11 14:08:33+00,16,0,0
-80.053773288,40.4279382476,127,TS480,40,127,,,SDE,2015/08/11 14:08:41+00,452,0,0
-79.9564383036,40.4419490042,128,TS131,40,128,,,SDE,2015/08/11 14:08:36+00,179,0,0
-79.9923882327,40.4457632545,129,TS500,40,129,,,SDE,2015/08/11 14:08:39+00,314,0,0
-80.0047198045,40.440040637,130,TS539,40,130,,,SDE,2015/08/11 14:08:39+00,312,0,0
-79.9651793173,40.4432554481,131,TS618,40,131,,,SDE,2015/08/11 14:08:36+00,190,0,0
-79.9578169472,40.4300216918,132,TS644,40,132,,,SDE,2015/08/11 14:08:35+00,138,0,0
-80.0061406564,40.4539411726,133,TS236,40,133,,,SDE,2015/08/11 14:08:42+00,497,0,0
-79.9971150249,40.436581104,134,TS514,40,134,,,SDE,2015/08/11 14:08:38+00,305,0,0
-79.9909772561,40.4428067115,135,TS55,40,135,,,SDE,2015/08/11 14:08:37+00,242,0,0
-79.9949063874,40.3850024555,136,TS457,40,136,,,SDE,2015/08/11 14:08:40+00,410,0,0
-79.9338189017,40.4583514244,137,TS72,40,137,,,SDE,2015/08/11 14:08:42+00,517,0,0
-79.9983455354,40.4437424664,138,TS479,40,138,,,SDE,2015/08/11 14:08:38+00,297,0,0
-79.9220768888,40.4616635128,139,TS153,40,139,,,SDE,2015/08/11 14:08:34+00,80,0,0
-80.0410792738,40.4800670757,140,TS187,40,140,,,SDE,2015/08/11 14:08:42+00,483,0,0
-79.9948748008,40.440427354,141,TS581,40,141,,,SDE,2015/08/11 14:08:37+00,247,0,0
-79.9820471335,40.4288350177,142,TS198,40,142,,,SDE,2015/08/11 14:08:40+00,380,0,0
-79.8776860371,40.4570937124,143,TS371,40,143,,,SDE,2015/08/11 14:08:33+00,8,0,0
-79.9998880038,40.4382119189,144,TS538,40,144,,,SDE,2015/08/11 14:08:38+00,311,0,0
-79.9350603734,40.4616087979,145,TS375,40,145,,,SDE,2015/08/11 14:08:39+00,347,0,0
-79.9987223238,40.4365554128,146,TS320,40,146,,,SDE,2015/08/11 14:08:38+00,264,0,0
-79.9989951898,40.4451448999,147,TS343,40,147,,,SDE,2015/08/11 14:08:38+00,280,0,0
-79.923484865,40.4297379328,148,TS359,40,148,,,SDE,2015/08/11 14:08:35+00,106,0,0
-79.937623947,40.4618982196,149,TS5,40,149,,,SDE,2015/08/11 14:08:39+00,346,0,0
-79.9911107277,40.4087452509,150,TS166,40,150,,,SDE,2015/08/11 14:08:40+00,402,0,0
-80.0134134699,40.4505963234,151,TS622,40,151,,,SDE,2015/08/11 14:08:41+00,467,0,0
-79.9312168659,40.445628161,152,TS101,40,152,,,SDE,2015/08/11 14:08:35+00,129,0,0
-80.0189413356,40.4406758874,153,TS635,40,153,,,SDE,2015/08/11 14:08:43+00,539,0,0
-79.9982129862,40.4390509526,154,TS228,40,154,,,SDE,2015/08/11 14:08:37+00,251,0,0
-79.9527239639,40.4483583109,155,TS75,40,155,,,SDE,2015/08/11 14:08:36+00,195,0,0
-79.9523067621,40.4661423298,156,TS357,40,156,,,SDE,2015/08/11 14:08:39+00,337,0,0
-79.9851403151,40.4376577111,157,TS334,40,157,,,SDE,2015/08/11 14:08:37+00,227,0,0
-79.9189753529,40.4353113288,158,TS83,40,158,,,SDE,2015/08/11 14:08:35+00,120,0,0
-79.9980492674,40.4375215901,159,TS389,40,159,,,SDE,2015/08/11 14:08:38+00,285,0,0
-79.9602745087,40.4404599496,160,TS257,40,160,,,SDE,2015/08/11 14:08:36+00,171,0,0
-80.0358201804,40.4843113742,161,TS114,40,161,,,SDE,2015/08/11 14:08:41+00,480,0,0
-80.0114125876,40.4930458907,162,TS291,40,162,,,SDE,2015/08/11 14:08:42+00,486,0,0
