X,Y,BM_Height,Easting,Northing,OBJECTID
-6.93070790097168,55.0433703228296,BM 22.81,268403.74,422298.356,241
-6.56387614422273,54.6578431385192,BM 22.93,292732.302,379804.568,242
-5.98521051833588,54.5614940130453,BM 23.08,330381.227,369998.914,243
-5.65183341355899,54.6496832861809,BM 23.09,351614.947,380482.745,244
-7.28132776739033,54.9840265739252,BM 23.33,246058.42,415405.167,245
-5.96977308458361,54.5543346430723,BM 23.33,331402.725,369230.835,246
-7.31036376459248,54.9951843214798,BM 23.36,244187.278,416628.577,247
-5.78112764462404,54.2819832962077,BM 23.57,344561.323,339289.786,248
-6.43154810629844,54.4291995308803,BM 23.68,301839.51,354538.024,249
-6.53882878595688,54.4141683845591,BM 23.69,294912.318,352715.193,250
-6.54869114754498,55.0621523274075,BM 23.71,292779.585,424829.528,251
-5.6917233901329,54.2989059394727,BM 23.77,350321.494,341359.899,252
-6.70565067559619,55.1859279445356,BM 23.8,282495.785,438411.153,253
-6.31035095919329,54.4976260610482,BM 23.8,309521.524,362336.005,254
-5.58098079348585,54.5845685347897,BM 23.81,356436.996,373391.535,255
-6.46857040694515,54.5027206103805,BM 23.9,299258.906,362668.377,256
-6.63942408007887,54.4845313061915,BM 24.21,288230.38,360416.249,257
-7.27720258524325,54.9864443926395,BM 24.31,246319.732,415677.051,258
-6.52691295779051,54.7294038679152,BM 24.39,294950.441,387819.387,259
-5.92488959812453,54.6499689998733,BM 24.44,333991.82,379959.363,260
-5.84599603759946,54.6207856111152,BM 24.57,339183.075,376864.767,261
-6.6760646104128,54.5161935028511,BM 24.81,285789.436,363895.222,262
-6.7159966963504,55.1797768832251,BM 25.39,281849.404,437714.231,263
-6.36535711968086,54.3307605227226,BM 25.52,306389.101,343679.328,264
-5.80595789254209,54.2640870991029,BM 25.52,343006.363,337247.564,265
-7.35556355585837,54.9557644372387,BM 25.63,241334.82,412212.57,266
-6.92745843436928,55.0411184816151,BM 25.89,268615.305,422050.861,267
-6.54257508956622,54.7804192486076,BM 25.99,293823.474,393476.881,268
-5.82633296792472,54.8481639040756,BM 26.28,339668.596,402210.165,269
-6.21457760067569,54.7135649733115,BM 26.33,315115.227,386523.787,270
-6.44960592546157,54.421903163082,BM 26.5,300685.55,353699.956,271
-6.44327143378283,54.4219504626908,BM 26.62,301096.577,353714.292,272
-5.596742594169,54.3232610594774,BM 26.89,356411.379,344276.792,273
-5.82260312473944,54.8546652322178,BM 26.9,339885.636,402941.189,274
-6.12581816590673,54.0688884455712,BM 26.95,322744.134,314922.371,275
-5.54022804204122,54.3844881096296,BM 26.97,359849.778,351217.129,276
-5.80840607060339,54.2721127579232,BM 27.21,342819.12,338135.766,277
-6.53361681262494,54.792603887243,BM 27.33,294371.462,394845.189,278
-5.54200667197891,54.5121145477667,BM 27.41,359238.148,365415.891,279
-5.71128313606305,54.7618652248353,BM 27.58,347371.003,392841.045,280
-7.3525045175004,54.960602626335,BM 27.81,241525.812,412752.988,281
-5.69126169297628,54.4748253407464,BM 28.11,349709.761,360938.438,282
-5.85876688965578,54.5979040865599,BM 28.5,338435.922,374292.952,283
-6.36186865631106,54.3746101679507,BM 28.63,306502.573,348565.102,284
-6.37701775076355,54.3658892649237,BM 28.69,305540.552,347571.67,285
-6.52045359511808,54.8080628813121,BM 28.76,295181.779,396583.743,286
-5.6144728214992,54.6329272565179,BM 28.81,354089.362,378699.278,287
-6.71928568891079,54.3643553722788,BM 29.02,283297.964,346942.574,288
-5.68259252706432,54.6662392418928,BM 29.04,349569.072,382259.308,289
-5.64490127712699,54.3323605153007,BM 29.14,353244.768,345183.675,290
-6.56121189695706,54.6532462161968,BM 29.22,292914.72,379296.407,291
-7.27188893937165,55.0511261009999,BM 29.27,246584.875,422881.255,292
-6.59550651458254,54.5678300790609,BM 29.34,290891.414,369743.981,293
-5.76376552684326,54.7339713967863,BM 29.51,344092.349,389627.603,294
-5.76789539504302,54.284773679727,BM 29.59,345413.158,339627.512,295
-7.1227678255698,55.0323290161447,BM 29.73,256141.899,420898.191,296
-6.26692661959783,54.6627831081039,BM 29.76,311881.37,380786.925,297
-5.59451007368001,54.3267664334369,BM 29.9,356543.292,344671.837,298
-6.71324745027055,55.1755285822625,BM 29.93,282033.266,437244.533,299
-6.67053105114324,54.3898970497745,BM 30.07,286413.305,349844.218,300
-6.73712843675234,54.4039117907807,BM 30.11,282059.275,351324.564,301
-6.71476706727853,55.1771461988043,BM 30.16,281933.132,437422.823,302
-6.70099387330084,54.533965082882,BM 30.37,284138.512,365843.262,303
-5.79558750198951,54.6573116446603,BM 30.52,342310.983,381030.905,304
-5.78433411068676,54.2793209334225,BM 30.64,344361.831,338986.933,305
-6.47856050606921,54.3813636209988,BM 30.7,298903.706,349146.758,306
-6.26887261396509,54.520518076208,BM 30.74,312145.949,364949.266,307
-6.38452287724768,54.4692336991368,BM 30.84,304788.877,359062.948,308
-6.48978277969978,54.4170421050991,BM 30.9,298089.446,353102.225,309
-6.65066726576213,55.1447549052152,BM 30.95,286086.549,433894.143,310
-6.58453918629239,54.4064501841105,BM 31,291962.119,351795.504,311
-5.79318048027688,54.2899473026429,BM 31.24,343748.723,340151.457,312
-6.55176457324517,54.4304260765053,BM 31.34,294035.325,354507.413,313
-6.36584649141847,54.3779675171972,BM 31.36,306235.428,348932.777,314
-6.42405752834919,54.7108585729181,BM 31.38,301622.634,385899.147,315
-6.79563261791525,55.1647812062954,BM 31.4,276805.038,435954.4,316
-5.68258616099382,54.6517839175212,BM 31.58,349622.598,380650.573,317
-7.30781788329741,54.995287466933,BM 31.59,244350.107,416641.67,318
-6.08723994316354,55.0251052190794,BM 31.61,322373.627,421415.787,319
-5.86794512919715,54.2555834583261,BM 31.68,338996.646,336177.368,320
-6.60232933124387,55.2062910009294,BM 31.8,289031.31,440804.947,321
-6.65923347823966,54.6461076337043,BM 31.83,286603.498,378376.579,322
-6.05395952949634,54.4967969862175,BM 32.17,326133.85,362672.978,323
-6.52163757533782,54.866434962172,BM 32.22,294968.533,403079.65,324
-5.81001091767768,54.7260713511482,BM 32.41,341141.458,388654.372,325
-5.72614901960929,54.3995076012648,BM 32.41,347719.409,352482.778,326
-6.6250277527606,54.4209233272315,BM 32.57,289301.685,353354.374,327
-5.76609152275181,54.2742041092793,BM 32.66,345567.874,338454.973,328
-5.83978333325165,54.6300467118081,BM 32.75,339552.606,377907.801,329
-5.83339875617162,54.6322178623418,BM 32.82,339957.394,378162.139,330
-6.05215820471242,54.4988026508953,BM 32.99,326244.363,362899.433,331
-5.95462618326529,54.5594348917456,BM 33.03,332366.065,369826.881,332
-7.30142802445753,55.0015668061241,BM 33.11,244752.087,417344.783,333
-6.71104031230542,54.4549741179918,BM 33.15,283649.294,357038.891,334
-6.46994557583066,54.8709139032305,BM 33.33,298276.335,403649.496,335
-6.51376434813961,54.8147030178162,BM 33.46,295596.183,397331.967,336
-6.92202850989943,55.0357984332846,BM 33.69,268971.56,421463.967,337
-6.27311236635686,54.5195448095635,BM 33.72,311874.095,364834.19,338
-5.93988609897896,54.6147453407916,BM 33.72,333138.984,376010.572,339
-6.24587868328123,55.207245767346,BM 34.12,311720.002,441424.008,340
-6.32315816842533,54.7838360267602,BM 34.24,307931.079,394172.784,341
-5.63437293778655,54.6016064837684,BM 34.3,352922.011,375170.145,342
-6.0842839797112,54.5063831007019,BM 34.33,324140.287,363685.967,343
-6.21368897304598,54.4768167037045,BM 34.38,315842.463,360174.634,344
-6.79520100511389,54.4312028150497,BM 34.41,278236.256,354296.231,345
-6.20788566265758,54.7224919483582,BM 34.41,315521.079,387528.392,346
-6.6944165049478,55.1604247429621,BM 34.47,283264.468,435585.456,347
-6.56595743877818,54.9685523753781,BM 34.49,291890.191,414387.591,348
-6.70019762005795,54.4875405860241,BM 34.53,284285.548,360676.745,349
-5.93480820752103,54.6246787508612,BM 34.67,333434.477,377125.76,350
-5.9566818091389,54.5282917145865,BM 34.91,332333.852,366356.905,351
-5.77342015014161,54.7338983289961,BM 34.96,343470.822,389599.686,352
-5.87498705457259,54.1688792472693,BM 34.97,338828.272,326514.323,353
-6.29264453125834,54.5094395945476,BM 35.01,310636.705,363678.575,354
-6.51401684181086,54.8394122993912,BM 35.12,295521.615,400082.055,355
-5.85669317273024,54.5836298698311,BM 35.25,338618.392,372708.399,356
-6.14277399562691,54.4724511068973,BM 35.32,320451.697,359807.759,357
-6.40140743753991,54.7123648137292,BM 35.36,303078.557,386099.828,358
-6.34290286086285,54.470311212538,BM 35.57,307484.271,359245.619,359
-6.6732314379005,54.4364368529837,BM 35.59,286140.296,355021.117,360
-6.55304992389137,54.898457750142,BM 35.86,292878.137,406602.089,361
-6.02963111317325,54.5220501594725,BM 36.06,327631.162,365527.456,362
-5.64606086912564,54.5987891062242,BM 36.09,352177.351,374831.23,363
-6.66421128609919,55.1650290425512,BM 36.19,285179.783,436134.444,364
-6.51521732648342,54.8376247316662,BM 36.23,295448.708,399881.442,365
-6.36674586571645,54.379696327438,BM 36.32,306172.531,349123.841,366
-6.51133286051926,54.8237974848849,BM 36.58,295730.98,398347.604,367
-5.93106464361434,54.5457087523894,BM 36.59,333935.04,368343.831,368
-6.67468770482357,54.368276860921,BM 36.93,286188.566,347432.664,369
-6.30420731429574,54.5038921478593,BM 36.94,309902.722,363043.013,370
-5.93197554728511,54.5439034960226,BM 37.13,333882.012,368141.18,371
-6.39766384494526,54.4420145304709,BM 37.22,304005.919,356013.886,372
-7.33078323337736,55.0002892341709,BM 37.24,242874.94,417184.179,373
-5.96838789093098,54.6016299911487,BM 37.36,331340.143,374497.242,374
-6.32892639858556,54.8392930782004,BM 37.61,307412.794,400336.742,375
-6.32818602019008,54.8393152602433,BM 37.67,307460.299,400340.346,376
-6.05782395333601,54.4933411562898,BM 37.75,325894.122,362281.434,377
-5.69842573211313,54.4724864690069,BM 37.83,349253.957,360662.934,378
-6.82799517595435,54.3341109593498,BM 37.96,276287.902,343453.153,379
-5.72370473550289,54.4345221294998,BM 38.04,347752.13,356384.615,380
-6.52029117362845,54.3910933026275,BM 38.07,296169.713,350171.962,381
-6.32813505758803,54.8427574639684,BM 38.31,307454.428,400723.571,382
-6.3281449360713,54.1666006661935,BM 38.49,309242.584,325465.344,383
-6.32426190187892,54.8598273040418,BM 38.59,307657.768,402629.538,384
-6.03144607737081,54.5080042879254,BM 38.62,327557.417,363960.9,385
-6.67378229699271,54.3654894943198,BM 38.72,286253.25,347123.52,386
