OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID
4132,WILKINS,TOWNSHIP,Wilkins Township,Turtle Creek Valley,Woodland Hills,18,85184,ES,1671.22631835,2.61129069,953,003635,7,East Regional,East,Mon Valley,1959,eaf2a691-eb4d-4041-9ff5-10fdc351e771
4133,TURTLE CREEK,BOROUGH,Turtle Creek Borough,Turtle Creek Valley,Woodland Hills,18,77912,MV,644.89764404,1.00765252,858,003570,8,East Regional,East,Mon Valley,1959,1a5fbb4c-12ff-44c4-85c2-8ba08ad75252
4134,BRADDOCK,BOROUGH,Braddock Borough,Turtle Creek Valley,Woodland Hills,18,7992,MV,414.30889892,0.64735764,808,003060,8,East Regional,East,Mon Valley,1953,3872ba96-3f08-45fc-a3e7-baa4f22bdca7
4135,EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough,Turtle Creek Valley,Woodland Hills,18,21712,MV,250.96156311,0.39212751,822,003160,8,East Regional,East,Mon Valley,1954,7df6c127-d0c5-4c0d-8910-9e713839960c
4136,NORTH BRADDOCK,BOROUGH,North Braddock Borough,Turtle Creek Valley,Woodland Hills,18,54816,MV,977.49279785,1.52733254,843,003380,8,East Regional,East,Mon Valley,1954,f472e16e-e3c3-496d-b144-f836b20fcf32
4138,WILMERDING,BOROUGH,Wilmerding Borough,Turtle Creek Valley,East Allegheny,18,85496,MV,281.61080932,0.44001686,867,003645,8,East Regional,East,Mon Valley,1972,f6917c59-3c45-4529-9900-271214d6cf8c
4151,WALL,BOROUGH,Wall Borough,Turtle Creek Valley,East Allegheny,18,80600,ES,240.45600891,0.37571251,861,003590,8,East Regional,East,Mon Valley,1971,9a9cdc74-31ba-443e-bf0d-1e9b37fc4795
4152,VERSAILLES,BOROUGH,Versailles Borough,Steel Rivers,McKeesport Area,18,80040,MV,345.72399902,0.54019373,860,003585,9,Mon-Valley,South,Mon Valley,1975,cbf9a6b7-857c-4808-bd97-0c147a4a7ab8
5337,DRAVOSBURG,BOROUGH,Dravosburg Borough,Steel Rivers,McKeesport Area,18,19856,MV,685.87915039,1.07168626,820,003140,9,Mon-Valley,South,Mon Valley,1964,2015cabd-1c4f-40cb-8501-bc2dd491c49c
5344,MCKEESPORT,CITY,McKeesport,Steel Rivers,McKeesport Area,18,46256,MV,3468.84692382,5.4200735,400,003330,9,Mon-Valley,South,Mon Valley,1973,854a0310-19c4-461d-a6b5-612b47367fc4
5356,PORT VUE,BOROUGH,Port Vue Borough,Steel Rivers,South Allegheny,18,62320,MV,748.59301757,1.16967654,848,003450,9,Mon-Valley,South,Mon Valley,1974,5cff2331-42bd-4bd5-a57a-f6d74ac0f739
5367,GLASSPORT,BOROUGH,Glassport Borough,Steel Rivers,South Allegheny,18,29432,MV,1148.58312988,1.79466092,829,003230,9,Mon-Valley,South,Mon Valley,1974,b5a8ad29-2016-4aa9-b1e0-8e5c780d6521
5373,DUQUESNE,CITY,Duquesne,Steel Rivers,Duquesne City,18,20432,MV,1315.8885498,2.05607652,300,003145,9,Mon-Valley,South,Mon Valley,1963,81c2196e-427f-49e5-b1d4-d9fad837b9ec
5736,LIBERTY,BOROUGH,Liberty Borough,Steel Rivers,South Allegheny,18,43064,MV,943.39855957,1.47406029,837,003310,9,Mon-Valley,South,Mon Valley,1977,fe592e52-219d-46f1-9221-0b4dae603a46
6153,LINCOLN,BOROUGH,Lincoln Borough,Steel Rivers,South Allegheny,18,43408,MV,3289.41967773,5.13971853,881,003315,9,Mon-Valley,South,Mon Valley,1977,4639bf1b-229b-4271-ad5b-d100075b515c
6942,ELIZABETH,TOWNSHIP,Elizabeth Township,South Hills Area,Elizabeth Foreward,18,23000,MV,14758.37402343,23.05995368,908,003180,9,Mon-Valley,South,Mon Valley,1981,3e063b53-3c78-4de5-b241-a4fa36d7e42c
6959,ELIZABETH,BOROUGH,Elizabeth Borough,Steel Rivers,Elizabeth Foreward,18,22992,MV,251.57983398,0.39309343,825,003180,9,Mon-Valley,South,Mon Valley,1980,543a93aa-4e57-4dfd-ae95-38d1e2b3f4f6
6983,WEST ELIZABETH,BOROUGH,West Elizabeth Borough,Steel Rivers,West Jefferson Hills,18,82848,MV,146.38269042,0.22872297,862,003600,9,Mon-Valley,South,Mon Valley,1964,11f628cf-af36-4290-a69b-6d2ce9ba5133
7372,SOUTH PARK,TOWNSHIP,South Park Township,South Hills Area,South Park,20,6064,SH,7491.74658203,11.70585441,945,003045,5,South Hills Regional,South,South,1962,0c8e0af1-e6d5-4e60-8390-621671fbf39c
9365,WEST MIFFLIN,BOROUGH,West Mifflin Borough,South Hills Area,West Mifflin Area,18,83512,MV,1510.90808105,2.36079382,870,003370,9,Mon-Valley,South,Mon Valley,1964,f4c42407-4e39-486b-b3d5-f65fffdfeb4e
9400,MOUNT OLIVER,BOROUGH,Mount Oliver Borough, ,City of Pittsburgh,14,51744,PGH,215.67382812,0.33699032,839,003365,0,City of Pittsburgh,City,Pittsburgh,1950,0ce53d0a-2c0e-4bea-b562-9f01e89fb1e5
9428,WHITAKER,BOROUGH,Whitaker Borough,Steel Rivers,West Mifflin Area,18,84440,MV,211.78500366,0.33091405,865,003620,8,Mon-Valley,South,Mon Valley,1955,39ec5992-eed1-4a0b-84de-5054e3646202
10241,HOMESTEAD,BOROUGH,Homestead Borough,Steel Rivers,Steel Valley,14,35424,MV,417.5508728,0.65242326,834,003270,11,Mon-Valley,South,Mon Valley,1954,5de92c20-a2e7-42e5-b788-f08ea7a653ec
10640,MUNHALL,BOROUGH,Munhall Borough,Steel Rivers,Steel Valley,18,52320,MV,1510.90808105,2.36079382,840,003370,11,Mon-Valley,South,Mon Valley,1955,a37e6729-b290-450c-badd-66873e71431d
