OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID
15581,NORTH FAYETTE,TOWNSHIP,North Fayette Township,Char-West,West Allegheny,20,55016,AA,16090.4140625,25.14126586,929,003385,4,Southwest Regional,West,West,2007,021ea3b6-5179-444f-b204-c1b9a8e36ad1
16275,FINDLAY,TOWNSHIP,Findlay Township,South Hills Area,West Allegheny,20,25904,AA,20697.90429687,32.34046936,910,003200,4,Northwest Regional,West,West,2007,3477fe2b-056a-4e4e-8335-832510f665a7
17073,FORWARD,TOWNSHIP,Forward Township,Steel Rivers,Elizabeth Foreward,18,26896,MV,12703.65527343,19.84946823,911,003210,9,Mon-Valley,South,Mon Valley,1990,2004c3d4-ee05-4594-9579-086a6915e6b6
17476,SOUTH VERSAILLES,TOWNSHIP,South Versailles Township,Steel Rivers,McKeesport Area,18,72568,MV,633.78521728,0.99028939,947,003530,9,Mon-Valley,South,Mon Valley,1975,99488cf4-5faf-43b3-90ad-3865c5e8791f
18278,WHITE OAK,BOROUGH,White Oak Borough,Steel Rivers,McKeesport Area,18,84704,MV,4233.85595703,6.61539983,875,003630,9,Mon-Valley,South,Mon Valley,1975,b378a25e-3176-4033-8510-ffb0c367f8ac
18673,NORTH VERSAILLES,TOWNSHIP,North Versailles Township,Turtle Creek Valley,East Allegheny,18,55488,MV,5342.85693359,8.34821414,930,003390,8,East Regional,East,Mon Valley,1972,6d67cb8d-b590-4179-a731-4e9b1a99e39b
19071,PINE,TOWNSHIP,Pine Township,North Hills,Pine-Richland,4,60272,NH,10785.91015625,16.85298347,935,003425,2,NEWCOM,North,North,2007,d30a8fc8-66a5-4855-b230-b709166b7e71
19479,MARSHALL,TOWNSHIP,Marshall Township,North Hills,North Allegheny,4,47696,NH,9874.30371093,15.42860031,923,003340,2,NEWCOM,North,North,2007,c7d5388e-0da6-44f5-b7d7-3ada65f47236
19482,BRADFORD WOODS,BOROUGH,Bradford Woods Borough,North Hills,North Allegheny,4,8064,NH,589.59259033,0.92123842,809,003070,2,NEWCOM,North,North,2007,99972dbe-fdb3-4ddd-b8b8-0d2d92ef5b7e
21872,ALEPPO,TOWNSHIP,Aleppo Township,Quaker Valley,Quaker Valley,14,724,AA,1124.58923339,1.75717031,901,003005,1,Northwest Regional,North,Northwest,1974,549bd1a0-64cc-4110-9e98-7fd73ed9373e
