WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
912,HILLFOOT,WARDS 1993,1:50000,Castlereagh,1.52470464959,1524704.64959,6547.40398523,6.54740398523,179
913,KNOCKBRACKEN,WARDS 1993,1:50000,Castlereagh,1.04620520156,1046205.20156,4792.30141689,4.79230141689,180
914,LISNASHARRAGH,WARDS 1993,1:50000,Castlereagh,0.96340381519,963403.81519,5077.55753094,5.07755753094,181
915,LOWER BRANIEL,WARDS 1993,1:50000,Castlereagh,0.868268471264,868268.471264,5317.57058151,5.31757058151,182
916,MINNOWBURN,WARDS 1993,1:50000,Castlereagh,1.44050371227,1440503.71227,7727.27153165,7.72727153165,183
917,MONEYREAGH,WARDS 1993,1:50000,Castlereagh,36.2470069358,36247006.9358,35761.203181,35.761203181,184
918,NEWTOWNBREDA,WARDS 1993,1:50000,Castlereagh,1.69173503918,1691735.03918,8054.66868557,8.05466868557,185
919,TULLYCARNET,WARDS 1993,1:50000,Castlereagh,0.499229875872,499229.875872,3450.62777879,3.45062777879,186
920,UPPER BRANIEL,WARDS 1993,1:50000,Castlereagh,2.8313510121,2831351.0121,7432.70800866,7.43270800866,187
921,WYNCHURCH,WARDS 1993,1:50000,Castlereagh,0.478755957576,478755.957576,3458.61011471,3.45861011471,188
923,CAIRNSHILL,WARDS 1993,1:50000,Castlereagh,0.956430683006,956430.683006,5815.96010119,5.81596010119,189
924,CARRYDUFF EAST,WARDS 1993,1:50000,Castlereagh,4.06869541961,4068695.41961,14194.8712857,14.1948712857,190
925,CARRYDUFF WEST,WARDS 1993,1:50000,Castlereagh,4.22387774324,4223877.74324,12783.0313337,12.7830313337,191
926,GALWALLY,WARDS 1993,1:50000,Castlereagh,1.02253329575,1022533.29575,4462.14142497,4.46214142497,192
1001,AGIVEY,WARDS 1993,1:50000,Coleraine,67.1639353261,67163935.3261,56328.0503087,56.3280503087,193
1002,ATLANTIC,WARDS 1993,1:50000,Coleraine,4.56071061856,4560710.61856,13481.5317546,13.4815317546,194
1003,BALLYSALLY,WARDS 1993,1:50000,Coleraine,0.920312564986,920312.564986,4539.55141602,4.53955141602,195
1004,CASTLEROCK,WARDS 1993,1:50000,Coleraine,29.1338805533,29133880.5533,29400.846321,29.400846321,196
1006,CHURCHLAND,WARDS 1993,1:50000,Coleraine,1.24956515658,1249565.15658,5132.44881391,5.13244881391,197
1007,CROSS GLEBE,WARDS 1993,1:50000,Coleraine,1.26542343858,1265423.43858,5105.43413327,5.10543413327,198
1008,DUNLUCE,WARDS 1993,1:50000,Coleraine,47.7573184886,47757318.4886,39739.288488,39.739288488,199
1009,GARVAGH,WARDS 1993,1:50000,Coleraine,53.3722251395,53372225.1395,40256.6784408,40.2566784408,200
1010,HOPEFIELD,WARDS 1993,1:50000,Coleraine,2.11570959257,2115709.59257,7341.97284718,7.34197284718,201
1011,KILREA,WARDS 1993,1:50000,Coleraine,26.4732067515,26473206.7515,27289.788137,27.289788137,202
1013,MACOSQUIN,WARDS 1993,1:50000,Coleraine,73.1058249923,73105824.9923,55488.8486131,55.4888486131,203
1014,MOUNT SANDEL,WARDS 1993,1:50000,Coleraine,1.91594780785,1915947.80785,7117.22577646,7.11722577646,204
1015,PORTSTEWART,WARDS 1993,1:50000,Coleraine,0.855893652021,855893.652021,6085.24320544,6.08524320544,205
1016,RINGSEND,WARDS 1993,1:50000,Coleraine,107.241138767,107241138.767,66687.9515483,66.6879515483,206
1017,ROYAL PORTRUSH,WARDS 1993,1:50000,Coleraine,4.19920343366,4199203.43366,16383.6173701,16.3836173701,207
1018,STRAND,WARDS 1993,1:50000,Coleraine,3.31744647278,3317446.47278,14183.9385608,14.1839385608,208
1019,THE CUTS,WARDS 1993,1:50000,Coleraine,4.64566216678,4645662.16678,12153.1778024,12.1531778024,209
1020,UNIVERSITY,WARDS 1993,1:50000,Coleraine,2.36803353555,2368033.53555,7835.05430714,7.83505430714,210
1021,WATERSIDE,WARDS 1993,1:50000,Coleraine,2.37567284517,2375672.84517,6539.4315597,6.5394315597,211
1022,CENTRAL,WARDS 1993,1:50000,Coleraine,1.05084227819,1050842.27819,5914.34771154,5.91434771154,212
1023,KNOCKLYNN,WARDS 1993,1:50000,Coleraine,2.95854302376,2958543.02376,9130.19313003,9.13019313003,213
1024,DUNDOOAN,WARDS 1993,1:50000,Coleraine,47.4887701227,47488770.1227,52121.0898316,52.1210898316,214
1101,ARDBOE,WARDS 1993,1:50000,Cookstown,61.8121089391,61812108.9391,36880.8668314,36.8808668314,215
1102,COAGH,WARDS 1993,1:50000,Cookstown,28.8631443631,28863144.3631,35331.6224173,35.3316224173,216
1103,DUNNAMORE,WARDS 1993,1:50000,Cookstown,98.2199571002,98219957.1002,51232.7600557,51.2327600557,217
1104,GORTALOWRY,WARDS 1993,1:50000,Cookstown,1.85219823514,1852198.23514,6519.90355254,6.51990355254,218
1105,KILLYCOLPY,WARDS 1993,1:50000,Cookstown,94.3713640536,94371364.0536,44925.7796922,44.9257796922,219
1106,KILLYMOON,WARDS 1993,1:50000,Cookstown,1.87054702101,1870547.02101,6807.97403563,6.80797403563,220
1107,LISSAN,WARDS 1993,1:50000,Cookstown,73.0240076655,73024007.6655,48824.8204541,48.8248204541,221
1108,MONEYMORE,WARDS 1993,1:50000,Cookstown,21.9758803723,21975880.3723,28068.6184764,28.0686184764,222
1109,NEWBUILDINGS,WARDS 1993,1:50000,Cookstown,2.17117013657,2171170.13657,7636.30218521,7.63630218521,223
1110,OAKLANDS,WARDS 1993,1:50000,Cookstown,52.840012981,52840012.981,41504.8717952,41.5048717952,224
1111,OLDTOWN,WARDS 1993,1:50000,Cookstown,0.81390271867,813902.71867,4805.38428645,4.80538428645,225
1112,POMEROY,WARDS 1993,1:50000,Cookstown,38.9521037929,38952103.7929,32675.5083434,32.6755083434,226
1113,SANDHOLES,WARDS 1993,1:50000,Cookstown,40.14444875,40144448.75,35284.8008967,35.2848008967,227
1114,STEWARTSTOWN,WARDS 1993,1:50000,Cookstown,42.7024578481,42702457.8481,36592.754976,36.592754976,228
1115,THE LOOP,WARDS 1993,1:50000,Cookstown,60.9883593099,60988359.3099,37214.7768424,37.2147768424,229
1116,TULLAGH,WARDS 1993,1:50000,Cookstown,1.10444642763,1104446.42763,5848.43412403,5.84843412403,230
1201,AGHAGALLON,WARDS 1993,1:50000,Craigavon,99.1854481894,99185448.1894,48445.6167755,48.4456167755,231
1202,ANNAGH,WARDS 1993,1:50000,Craigavon,9.45185501234,9451855.01234,17257.1477874,17.2571477874,232
1203,BALLYBAY,WARDS 1993,1:50000,Craigavon,6.58358413341,6583584.13341,14020.5873513,14.0205873513,233
1204,BALLYORAN,WARDS 1993,1:50000,Craigavon,9.76169330463,9761693.30463,14514.632463,14.514632463,234
1205,BLEARY,WARDS 1993,1:50000,Craigavon,17.4694894703,17469489.4703,27492.4258161,27.4924258161,235
